id,name,height_m,lat,lon,gridref,region
229,An Socach (Braemar),942.8,56.90172,-3.51295,NO079799,Pitlochry to Braemar & Blairgowrie
230,Binnein Beag,941.5,56.76729,-4.91157,NN221677,Fort William to Loch Treig & Loch Leven
231,Beinn a' Chroin,941.4,56.33179,-4.60972,NN387185,Loch Lomond to Strathyre
232,Carn Dearg (Corrour),941.0,56.76,-4.59028,NN417661,Loch Treig to Loch Ericht
233,Càrn na Caim,940.8,56.91174,-4.17366,NN677821,Loch Ericht to Glen Tromie & Glen Garry
234,Mount Keen,939.4,56.96998,-2.97288,NO409869,Braemar to Montrose
235,Mullach nan Coirean,939.3,56.74995,-5.07219,NN122662,Fort William to Loch Treig & Loch Leven
236,Luinne Bheinn,938.6,57.04843,-5.51411,NG869007,Knoydart to Glen Kingie
237,Sron a' Choire Ghairbh,936.2,57.00777,-4.9287,NN222945,Loch Arkaig to Glen Moriston
238,A' Bhuidheanach Bheag,936.0,56.86996,-4.19913,NN660775,Loch Ericht to Glen Tromie & Glen Garry
239,Beinn Sgulaird,935.0,56.56593,-5.16959,NN053460,Loch Linnhe to Loch Etive
240,Beinn na Lap,935.0,56.7891,-4.65943,NN376695,Loch Treig to Loch Ericht
241,Meall a' Chrasgaidh,934.4,57.71314,-5.0493,NH184733,The Fannaichs
242,Am Basteir,934.0,57.24839,-6.20327,NG465253,Minginish and the Cuillin Hills
243,Beinn Tarsuinn,933.8,57.70167,-5.29177,NH039727,Loch Maree to Loch Broom
244,Fionn Bheinn,933.0,57.61118,-5.10271,NH147621,The Fannaichs
245,Maol Chean-dearg,933.0,57.49209,-5.46485,NG924499,Applecross to Achnasheen
246,The Cairnwell,933.0,56.87943,-3.42179,NO134773,Pitlochry to Braemar & Blairgowrie
247,Beinn Chabhair,932.2,56.32572,-4.64166,NN367179,Loch Lomond to Strathyre
248,Meall Buidhe (Glen Lyon),932.1,56.61728,-4.44846,NN498499,Loch Rannoch to Glen Lyon
249,Ben Chonzie,930.4,56.4538,-3.99164,NN773308,Loch Tay to Perth
250,Beinn Bhreac,930.3,57.05485,-3.5538,NO058970,Cairngorms
251,A' Chailleach (Monadh Liath),929.3,57.10934,-4.17862,NH681041,Glen Albyn and the Monadh Liath
252,Blà Bheinn,928.8,57.21963,-6.0939,NG529217,Minginish and the Cuillin Hills
253,Mayar,928.6,56.84896,-3.24683,NO240737,Braemar to Montrose
254,Meall nan Eun,928.1,56.56162,-4.94295,NN192449,Glen Etive to Glen Lochy
255,Ben Hope,927.0,58.41312,-4.60785,NC477501,Durness to Loch Shin
256,Eididh nan Clach Geala,927.0,57.81381,-4.93486,NH257842,Loch Broom to Strath Oykel
257,Beinn Narnain,926.8,56.22091,-4.78931,NN271066,Inveraray to Crianlarich
258,Sgurr nan Eag,926.3,57.19599,-6.21055,NG457195,Minginish and the Cuillin Hills
259,Geal Chàrn (Monadh Liath),926.3,57.05728,-4.37347,NN561987,Glen Albyn and the Monadh Liath
260,Beinn Liath Mhòr,926.0,57.51184,-5.39991,NG964519,Applecross to Achnasheen
261,Seana Bhraigh,926.0,57.84703,-4.89712,NH281878,Loch Broom to Strath Oykel
262,Moruisg,925.7,57.49985,-5.17005,NH101499,Kyle of Lochalsh to Garve
263,Meall a' Choire Leith,925.6,56.56604,-4.25958,NN612438,Glen Lyon to Glen Dochart & Loch Tay
264,Buachaille Etive Beag - Stob Coire Raineach,924.5,56.6504,-4.9515,NN191548,Loch Linnhe to Loch Etive
265,Creag Pitridh,924.5,56.89964,-4.48498,NN487814,Loch Treig to Loch Ericht
266,An Coileachan,924.0,57.66787,-4.94989,NH241680,The Fannaichs
267,Sgurr nan Each,924.0,57.68085,-5.04658,NH184697,The Fannaichs
268,Beinn Alligin - Tom na Gruagaich,921.8,57.58051,-5.58204,NG859601,Loch Torridon to Loch Maree
269,Carn Sgulain,920.3,57.12466,-4.17621,NH683058,Glen Albyn and the Monadh Liath
